Vertex Cover -> Hamiltonian Cycle
1 4 1
1 9 1
1 10 1
1 21 1
1 22 1
1 33 1
1 34 1
1 45 1
1 46 1
1 57 1
1 58 1
1 69 1
1 70 1
1 75 1
2 4 1
2 9 1
2 10 1
2 21 1
2 22 1
2 33 1
2 34 1
2 45 1
2 46 1
2 57 1
2 58 1
2 69 1
2 70 1
2 75 1
3 4 1
3 9 1
3 10 1
3 21 1
3 22 1
3 33 1
3 34 1
3 45 1
3 46 1
3 57 1
3 58 1
3 69 1
3 70 1
3 75 1
4 1 1
4 2 1
4 3 1
4 5 1
4 12 1
5 4 1
5 6 1
6 5 1
6 7 1
6 10 1
7 6 1
7 8 1
7 15 1
8 7 1
8 9 1
9 1 1
9 2 1
9 3 1
9 8 1
9 13 1
10 1 1
10 2 1
10 3 1
10 6 1
10 11 1
11 10 1
11 12 1
12 4 1
12 11 1
12 13 1
13 9 1
13 12 1
13 14 1
14 13 1
14 15 1
15 7 1
15 14 1
15 16 1
16 15 1
16 17 1
16 24 1
17 16 1
17 18 1
18 17 1
18 19 1
18 22 1
19 18 1
19 20 1
19 27 1
20 19 1
20 21 1
21 1 1
21 2 1
21 3 1
21 20 1
21 25 1
22 1 1
22 2 1
22 3 1
22 18 1
22 23 1
23 22 1
23 24 1
24 16 1
24 23 1
24 25 1
25 21 1
25 24 1
25 26 1
26 25 1
26 27 1
27 19 1
27 26 1
27 28 1
28 27 1
28 29 1
28 36 1
29 28 1
29 30 1
30 29 1
30 31 1
30 34 1
31 30 1
31 32 1
31 39 1
32 31 1
32 33 1
33 1 1
33 2 1
33 3 1
33 32 1
33 37 1
34 1 1
34 2 1
34 3 1
34 30 1
34 35 1
35 34 1
35 36 1
36 28 1
36 35 1
36 37 1
37 33 1
37 36 1
37 38 1
38 37 1
38 39 1
39 31 1
39 38 1
39 40 1
40 39 1
40 41 1
40 48 1
41 40 1
41 42 1
42 41 1
42 43 1
42 46 1
43 42 1
43 44 1
43 51 1
44 43 1
44 45 1
45 1 1
45 2 1
45 3 1
45 44 1
45 49 1
46 1 1
46 2 1
46 3 1
46 42 1
46 47 1
47 46 1
47 48 1
48 40 1
48 47 1
48 49 1
49 45 1
49 48 1
49 50 1
50 49 1
50 51 1
51 43 1
51 50 1
51 52 1
52 51 1
52 53 1
52 60 1
53 52 1
53 54 1
54 53 1
54 55 1
54 58 1
55 54 1
55 56 1
55 63 1
56 55 1
56 57 1
57 1 1
57 2 1
57 3 1
57 56 1
57 61 1
58 1 1
58 2 1
58 3 1
58 54 1
58 59 1
59 58 1
59 60 1
60 52 1
60 59 1
60 61 1
61 57 1
61 60 1
61 62 1
62 61 1
62 63 1
63 55 1
63 62 1
63 64 1
64 63 1
64 65 1
64 72 1
65 64 1
65 66 1
66 65 1
66 67 1
66 70 1
67 66 1
67 68 1
67 75 1
68 67 1
68 69 1
69 1 1
69 2 1
69 3 1
69 68 1
69 73 1
70 1 1
70 2 1
70 3 1
70 66 1
70 71 1
71 70 1
71 72 1
72 64 1
72 71 1
72 73 1
73 69 1
73 72 1
73 74 1
74 73 1
74 75 1
75 1 1
75 2 1
75 3 1
75 67 1
75 74 1
$
This file was generated by running:
python3 vertexcover_to_hc.py datafiles/vertex_cover.dat
